place,Postal_Town,population
(NHM)_SOUTH_KENSINGTON,London,3348000
(NHM)_TRING,Tring,11981
(RA)_FORT_NELSON,Fareham,114799
(RA)_LEEDS,Leeds,774060
(RA)_WHITE_TOWER,London,3348000
(V&A)_BLYTHE_HOUSE,London,3348000
(V&A)_CHILDHOOD,London,3348000
(V&A)_SOUTH_KENSINGTON,London,3348000
BRITISH_MUSEUM,London,3348000
CHURCHILL_WAR_ROOMS_(IWM),London,3348000
GEFFRYE_MUSEUM,London,3348000
HMS_BELFAST_(IWM),London,3348000
HORNIMAN_MUSEUM,London,3348000
IWM_DUXFORD,Cambridge,130907
IWM_NORTH,Manchester,530292
NATIONAL_COAL_MINING_MUSEUM,Overton,4935
NATIONAL_GALLERY,London,3348000
NATIONAL_PORTRAIT_GALLERY,London,3348000
ROYAL_MUSEUMS_GREENWICH,London,3348000
SCIENCE_AND_INDUSTRY_MANCHESTER,Manchester,530292
SCIENCE_LOCOMOTION_SHILDON,Shildon,9976
SCIENCE_NATIONAL_MEDIA_MUSEUM,Bradford,531176
SCIENCE_SOUTH_KENSINGTON,London,3348000
SIR_JOHN_SOANES,London,3348000
TATE_BRITAIN,London,3348000
TATE_LIVERPOOL,Liverpool,478580
TATE_MODERN,London,3348000
TATE_ST_IVES,St_Ives,11226
WALLACE_COLLECTION,London,3348000
